ID,Codice,Prodotto,Data_prod,Mix,Stabilimento,Danno,Data_Fatt,Fattura,Data_rec,Cod_cliente,Stamp,Provincia,Regione,Posa,Area,Linea_Gronda,Altitudine,Coordinate,latitudine,longitudine
U062018,SZ20GR,colmi_max_serenissima,2014-01-01,ND,ILCA,Sfaldatura,2014-11-05,VC2571,2018-06-07,180220,ND,ND,SLOVACCHIA,ND,ND,ND,ND,"48.4545, 18.8907",48.4545,18.8907
U086018,PU01G,unicoppo_antica_possagno_extra_12_mq,2011-05-29,ND,ILCA,Sfaldatura,2011-08-10,ND,2018-10-17,11190,R290511,ND,ND,legno,250.0,aperta,425,"45.831839483119765, 9.590827398273799",45.831839483119765,9.590827398273799
U120018,IM01G,maxima__vecchia_fornace,2007-08-30,ND,ILCA,Sfaldatura,2008-05-01,IL0801997,2018-06-20,ND,IM016,TN,TRENTINO__ALTO_ADIGE,guaina_ventilato,ND,aperta,723,"46.13194558675942, 10.759213169456936",46.13194558675942,10.759213169456936
U136018,SZ01W,tesi_serenissima_winter,2011-01-01,ND,ILCA,Sfaldatura,2011-04-09,ND,2018-12-17,ND,ND,TN,TRENTINO__ALTO_ADIGE,legno,216.7,aperta,1000,"46.287758, 11.462023",46.287758,11.462023
U138018,SW01,tegole_temax_serenissima,2014-05-15,Q21,ILCA,Sfaldatura,1970-01-01,ND,2018-11-27,92010,R150514,BG,LOMBARDIA,legno,ND,ND,453,"45.7874, 9.9299",45.7874,9.9299
V030019,RZ01W,tesi_rosse_winter,2010-07-20,ND,ILCA,Sfaldatura,1970-01-01,ND,2019-05-09,135060,ND,TN,TRENTINO__ALTO_ADIGE,ND,ND,ND,248,"46.2479, 11.0675",46.2479,11.0675
V078019,PU01,unicoppo_antica_possagno,2006-01-01,ND,ILCA,Sfaldatura,2006-11-10,ND,2019-12-09,ND,ND,BL,VENETO,ND,300.0,aperta,325,"46.0129,  11.8862",46.0129,11.8862
W031020,SZ01,tegola_tesi_serenissima,2010-05-06,ND,ILCA,Sfaldatura,2010-05-15,VC245,2020-03-09,1195ND,R060510,ND,POLONIA,ND,ND,ND,205,"50.0171, 22.6789",50.0171,22.6789
W124020,SM01W,teg_maxima_serenisswinter_168,2018-05-04,Q21,ILCA,Sfaldatura,2020-07-20,VI60044,2020-12-03,22160,R040518,MS,TOSCANA,legno,227.3,aperta,530,"44.1767, 10.0204",44.1767,10.0204
W130020,RZ01W,tesi_rosse_winter,2016-04-03,IM4B6,ILCA,Sfaldatura,2016-06-10,ND,2020-03-04,ND,ND,BL,VENETO,ND,210.0,ND,479,"46.0165, 11.9067",46.0165,11.9067
W135020,DM01G,teg_maxima_dsa_rossa,2012-06-29,N35,ILCA,Sfaldatura,2012-06-30,ND,2020-10-12,ND,ND,BL,VENETO,ND,ND,ND,690,"46.0981, 12.3843",46.0981,12.3843
W140020,PU01GW,unicoppo_extra_winter_ant_possagno,2018-04-28,IM4B6,ILCA,Sfaldatura,2018-07-31,ND,2020-06-29,150410,R280418,BO,EMILIA_ROMAGNA,legno,230.0,ND,130,"44.3155, 11.3034",44.3155,11.3034
